Food Code,Food Name,Group,Type,Air (Water) (g),Energi (Energy) (Kal),Protein (Protein) (g),Lemak (Fat) (g),Karbohidrat (CHO) (g),Serat (Fibre) (g),Abu (ASH) (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (Vit. A) (mcg),Beta-Karoten (Carotenes) (mcg),Thiamin (Vit. B1) (mg),Riboflavin (Vit. B2) (mg),Niasin (Niacin) (mg),Karoten Total (Re) (mcg),Vitamin C (Vit. C) (mg)
ER076,"Ayam banana, fresh",Fruits,Raw,71.2,120.0,1.1,0.2,26.8,4.1,0.7,20.0,61.0,0.4,6.0,392.0,0.1,0.3,,24.0,0.1,0.02,1.0,,26.0
GP039,"Baby anchovies, dried, raw",Fish and Other Seafood,Processed/Products,4.3,316.0,60.1,6.5,22.4,0.0,6.7,3196.0,1976.0,16.6,,,,,320.0,0.0,0.0,,,0.0,0.0
AR015,"Baby corn, yellow, raw",Cereals,Raw,61.8,147.0,5.1,0.7,31.5,1.3,0.9,6.0,122.0,1.1,5.0,33.6,0.13,0.9,0.0,113.0,0.24,0.1,0.8,261.0,9.0
BP013,"Bagea, coconut, savory",Starchy Roots & Tubers,Processed/Products,3.5,450.0,3.2,13.9,78.1,,1.3,38.0,38.0,0.3,74.0,0.0,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
BP014,"Bagea, coconut, sweet",Starchy Roots & Tubers,Processed/Products,3.0,452.0,1.3,13.8,80.6,,1.3,38.0,39.0,0.3,75.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP015,"Bagea, pili nut, savory",Starchy Roots & Tubers,Processed/Products,2.8,529.0,3.2,29.1,63.6,,1.3,38.0,40.0,0.4,74.0,0.0,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
BP016,"Bagea, pili nut, sweet",Starchy Roots & Tubers,Processed/Products,3.1,523.0,3.2,28.2,64.2,,1.3,38.0,39.0,0.3,74.0,0.0,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
BP017,"Bagea, quality 1",Starchy Roots & Tubers,Processed/Products,7.2,416.0,6.5,9.4,76.3,0.4,0.6,49.0,77.0,4.9,,,,,13.0,,0.08,,2.6,312.0,0.0
BP018,"Bagea, quality 2",Starchy Roots & Tubers,Processed/Products,7.9,382.0,0.3,3.5,87.2,0.9,1.1,172.0,120.0,7.6,,,,,0.0,0.0,0.02,,,0.0,0.0
DR055,"Bago leaves, fresh",Vegetables,Raw,70.8,104.0,5.0,1.3,21.3,10.3,1.6,219.0,82.0,4.2,12.0,604.8,0.4,0.6,,823.0,0.09,,,10000.0,182.0
DR119,"Bago rind, fresh",Vegetables,Raw,71.9,111.0,4.5,1.1,20.7,5.0,1.8,117.0,179.0,2.6,,,,,0.0,,0.07,,,1267.0,7.0
DR128,"Bago, fresh",Vegetables,Raw,80.0,66.0,5.0,0.7,13.3,,1.0,163.0,75.0,2.8,,,,,,,0.1,,,1000.0,100.0
GR062,"Bagrid catfish, fresh",Fish and Other Seafood,Raw,77.4,88.0,15.9,0.9,4.1,0.0,1.8,221.0,223.0,0.0,24.0,364.0,0.4,0.7,,,0.2,0.25,1.6,,
AP030,"Bakpia, kue",Cereals,Processed/Products,38.9,272.0,8.7,6.7,44.1,0.9,1.6,194.0,117.0,4.5,,,,,,,0.31,1.0,2.9,1392.0,0.0
AP031,Bakwan,Cereals,Processed/Products,40.5,280.0,8.2,10.2,39.0,3.4,2.1,204.0,79.0,7.0,,,,,0.0,,0.08,,,0.0,0.0
GP093,"Balado anchovy, dish",Fish and Other Seafood,Processed/Products,25.8,365.0,23.7,22.3,17.5,0.0,10.9,869.0,348.0,4.0,,,,,27.0,,0.13,,,1567.0,0.0
DP060,Balamak pumpkin,Vegetables,Processed/Products,89.4,45.0,0.8,0.9,8.1,7.9,1.0,25.0,25.0,0.5,61.0,15.0,,0.2,,1241.0,0.2,0.0,0.1,0.0,2.0
DR026,"Bali goseweed leaves, fresh",Vegetables,Raw,86.4,50.0,4.6,0.9,7.0,1.4,1.1,167.0,62.0,0.5,,,,,0.0,,0.05,,,6571.0,20.0
GR049,"Bali sardinella, fresh",Fish and Other Seafood,Raw,65.3,154.0,16.8,5.0,10.5,,2.4,80.0,244.0,1.6,421.0,488.0,0.2,1.2,,,0.47,0.15,9.6,,
CP003,"Bambara groundnut, boiled",Grains and Legumes,Processed/Products,61.2,161.0,7.7,2.8,27.1,2.0,1.2,56.0,134.0,1.4,,,,,,,0.1,,,,
CR005,"Bambara groundnut, dried",Grains and Legumes,Raw,10.0,370.0,16.0,6.0,65.0,26.3,3.0,85.0,264.0,4.2,44.0,868.8,1.48,2.7,0.0,,0.18,0.26,6.2,,0.0
CR006,"Bambara groundnut, fresh",Grains and Legumes,Raw,60.8,165.0,7.7,3.1,27.4,2.5,1.0,96.0,126.0,5.3,6.0,537.0,0.41,1.2,,29.0,0.32,0.35,2.7,,
CP002,"Bambara groundnut, fried",Grains and Legumes,Processed/Products,3.0,479.0,12.7,23.2,58.9,1.2,2.2,135.0,184.0,2.9,,,,,,,0.25,0.45,4.1,,
DR138,"Bamboo shoot, fresh",Vegetables,Raw,93.3,25.0,0.8,0.1,5.3,9.7,0.5,3.0,5.0,0.5,3.0,206.0,0.1,0.4,,10.0,0.2,0.07,0.5,,0.0
EP014,Banana flour,Fruits,Processed/Products,13.8,338.0,2.9,0.4,80.6,5.3,2.1,23.0,62.0,4.0,18.0,734.0,0.1,0.5,,13.0,0.02,0.02,1.0,1.0,2.0
DR092,"Banana, flower, fresh",Vegetables,Raw,90.2,32.0,1.2,0.3,7.1,3.2,1.2,30.0,50.0,0.1,3.0,524.0,0.09,0.3,0.0,201.0,0.05,0.03,0.8,170.0,10.0
BP046,"Bangket, kue",Starchy Roots & Tubers,Processed/Products,16.1,338.0,1.5,1.2,80.3,,0.9,34.0,35.0,0.3,67.0,0.0,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.0,
GP025,"Banjar peda fish, mentah",Fish and Other Seafood,Processed/Products,46.0,156.0,28.0,4.0,2.0,0.0,20.0,174.0,316.0,3.1,59.0,368.8,0.0,0.5,33.0,4.0,0.1,0.1,4.7,,
AP032,Bantal,Cereals,Processed/Products,52.3,190.0,3.3,0.3,43.5,3.4,0.6,9.0,0.0,0.4,164.0,84.0,0.2,0.9,,,0.27,0.02,3.6,,
AR019,"Barley, raw",Cereals,Raw,23.0,324.0,11.0,4.0,61.0,3.1,1.0,213.0,176.0,11.0,24.0,,0.1,0.4,,,0.14,0.08,1.8,,0.0
EP001,Barongko,Fruits,Processed/Products,66.7,159.0,3.1,5.8,23.5,,0.7,35.0,65.0,1.2,46.0,78.0,0.3,0.6,,,,,,,
AP033,Baruasa,Cereals,Processed/Products,5.3,417.0,6.5,8.2,79.3,,0.7,,,,,,,,,,,,,,
DR067,"Basil leaves, fresh",Vegetables,Raw,83.1,62.0,4.0,0.5,10.5,5.3,1.9,122.0,16.0,13.9,3.0,259.0,0.4,0.7,0.0,4112.0,0.5,0.1,0.2,,24.0
AP034,Batar daan,Cereals,Processed/Products,75.3,107.0,2.2,2.2,19.6,,0.7,20.0,30.0,0.6,200.0,90.0,0.1,,,,0.18,0.02,,,
BP003,"Batatas tali, tubers, boiled",Starchy Roots & Tubers,Processed/Products,53.2,182.0,2.4,0.4,42.2,9.2,1.8,1.0,80.0,0.3,20.0,402.0,0.3,0.6,0.0,0.0,0.27,0.0,1.3,0.0,0.0
BR003,"Batatas, coconut, tubers, fresh",Starchy Roots & Tubers,Raw,76.1,89.0,1.1,0.1,21.0,4.0,0.7,0.0,40.0,0.2,20.0,340.0,0.1,0.2,0.0,0.0,0.38,0.0,0.9,0.0,0.0
BP001,"Batatas, coconut, tubers, grilled",Starchy Roots & Tubers,Processed/Products,73.2,110.0,1.4,1.1,23.4,4.5,0.7,1.0,46.0,0.2,12.0,230.0,0.2,0.3,0.0,0.0,1.13,0.0,0.0,0.0,0.0
BP002,"Batatas, coconut, tubers, steamed",Starchy Roots & Tubers,Processed/Products,75.7,92.0,1.2,0.3,21.0,4.1,1.8,0.0,42.0,0.2,10.0,209.0,0.2,0.3,0.0,0.0,0.28,0.0,0.7,0.0,0.0
BR002,"Batatas, lesser yam, fresh",Starchy Roots & Tubers,Raw,76.7,76.0,1.1,0.9,16.0,4.2,0.7,0.0,40.0,0.2,10.0,200.0,0.2,0.3,0.0,0.0,0.06,0.0,0.9,0.0,0.0
NR017,"Bay leaf, ground",Herbs and Spices,Raw,13.1,301.0,14.2,10.9,49.0,9.4,12.8,86.0,250.0,44.1,180.0,619.0,1.31,0.7,0.0,5400.0,0.1,0.32,5.0,,0.0
HP005,"Bayau mi balu, dish",Eggs,Processed/Products,36.1,313.0,6.0,12.2,44.8,,0.9,,,,,,,,783.0,89.0,0.14,0.27,9.7,,
DR002,"Bean sprouts, fresh",Vegetables,Raw,90.6,37.0,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.0,105.0,0.16,0.4,0.0,0.0,0.02,0.09,0.6,35.0,46.0
DR148,"Bean sprouts, fresh",Vegetables,Raw,90.4,34.0,3.7,1.2,4.3,1.1,0.4,166.0,74.0,0.8,19.0,93.3,0.16,0.4,,41.0,0.09,0.15,1.1,20.0,5.0
DP003,"Bean, boiled",Vegetables,Processed/Products,90.6,30.0,2.2,0.2,6.4,1.5,0.6,107.0,47.0,0.5,7.0,138.9,0.1,0.3,,1.0,0.01,0.29,2.0,402.0,8.0
DR013,"Bean, fresh",Vegetables,Raw,89.6,34.0,2.4,0.3,7.2,1.9,0.5,101.0,42.0,0.7,8.0,250.0,0.07,0.3,0.0,772.0,0.05,0.4,2.8,550.0,11.0
CP037,Beancurd,Grains and Legumes,Processed/Products,10.8,380.0,48.9,13.8,23.3,0.0,3.2,378.0,781.0,2.1,55.0,455.3,0.68,4.2,,0.0,0.15,0.08,0.7,,
CP038,"Beancurd, steamed",Grains and Legumes,Processed/Products,79.8,90.0,10.7,4.0,4.7,,0.8,85.0,,,,,,,,,,,,,
DP026,Beberuk,Vegetables,Processed/Products,89.1,65.0,1.1,5.2,3.5,3.1,1.1,179.0,72.0,8.3,53.0,427.0,0.4,0.2,,44.0,0.3,,4.4,,
FP036,Beef burger,Meat and Poultry,Processed/Products,45.5,258.0,10.6,9.5,32.5,0.4,2.2,210.0,157.0,2.6,572.0,189.1,,,218.0,,0.95,,,7580.0,0.0
FP070,"Beef leg soup, dish",Meat and Poultry,Processed/Products,84.5,68.0,9.0,1.9,3.7,,0.9,302.0,15.0,2.2,435.0,,,,48.0,,0.46,,,150.0,0.0
FP062,"Beef Rendang, dish",Meat and Poultry,Processed/Products,57.9,193.0,22.6,7.9,7.8,0.0,3.8,474.0,211.0,14.9,,,,,21.0,,0.12,,0.0,534.0,
FP069,"Beef soup, dish",Meat and Poultry,Processed/Products,87.5,49.0,5.8,0.5,5.3,,0.9,158.0,48.0,2.2,391.0,,,,101.0,,0.37,,,3320.0,0.0
FP037,"Beef teriyaki, dish",Meat and Poultry,Processed/Products,65.1,151.0,8.6,3.1,22.3,0.3,0.9,142.0,62.0,2.3,377.0,,,,22.0,,0.53,,,400.0,0.0
FP038,"Beef yakiniku, dish",Meat and Poultry,Processed/Products,67.7,132.0,9.8,1.1,20.7,0.3,0.8,302.0,67.0,2.0,409.0,,,,78.0,,0.62,,,700.0,0.0
FR028,"Beef, black pudding/ blood",Meat and Poultry,Raw,75.6,98.0,21.9,1.1,0.0,0.0,1.4,7.0,24.0,1.3,150.0,170.0,,0.2,15.0,214.0,0.01,0.03,0.9,,0.0
FR032,"Beef, brain, fresh",Meat and Poultry,Raw,78.9,123.0,10.4,8.6,0.8,0.0,1.3,16.0,330.0,3.6,112.0,243.8,0.26,0.9,0.0,0.0,0.23,0.19,3.9,,18.0
FR033,"Beef, intestine, fresh",Meat and Poultry,Raw,76.7,126.0,14.0,7.2,1.5,0.0,0.6,14.0,115.0,4.0,,,,,61.0,0.0,0.08,0.33,0.2,,0.0
FR029,"Beef, kidney, fresh",Meat and Poultry,Raw,74.9,137.0,15.0,8.1,0.9,0.0,1.1,9.0,221.0,7.9,200.0,230.2,,,348.0,583.0,0.37,1.22,6.1,,13.0
FR031,"Beef, liver, fresh",Meat and Poultry,Raw,69.7,132.0,19.7,3.2,6.0,0.0,1.4,7.0,358.0,6.6,110.0,213.0,0.51,2.3,13303.0,355.0,0.26,1.52,11.4,,31.0
FP017,"Beef, liverworst",Meat and Poultry,Processed/Products,56.6,274.0,16.0,22.0,3.0,2.3,2.4,20.0,150.0,4.0,654.0,158.8,0.22,2.2,1201.0,,0.2,0.96,4.0,,0.0
FP019,"Beef, lung, fried",Meat and Poultry,Processed/Products,45.5,268.0,23.9,12.7,14.5,,3.1,102.0,315.0,8.8,923.0,299.0,0.0,1.5,790.0,,,,,,
FP018,"Beef, lung, jerked meat, raw",Meat and Poultry,Processed/Products,9.7,360.0,57.3,6.0,19.2,,7.8,126.0,903.0,21.1,1483.0,864.0,1.2,6.1,2827.0,,,,,,
FP015,"Beef, meat, corned",Meat and Poultry,Processed/Products,53.0,289.0,16.0,25.0,0.0,0.0,6.0,10.0,170.0,4.0,794.0,94.4,0.07,4.0,0.0,52.0,0.01,0.16,2.7,,0.0
FR024,"Beef, meat, fat, fresh",Meat and Poultry,Raw,60.0,273.0,17.5,22.0,0.0,0.0,0.5,10.0,150.0,2.6,93.0,267.0,0.17,6.4,12.0,0.0,0.08,0.18,7.3,,0.0
FP014,"Beef, meat, jerked meat, raw",Meat and Poultry,Processed/Products,25.0,301.0,55.0,9.0,0.0,,11.0,30.0,370.0,5.1,,,,,0.0,,0.1,,,,0.0
FR025,"Beef, meat, laen, fresh",Meat and Poultry,Raw,69.0,174.0,19.6,10.0,0.0,0.0,1.4,11.0,181.0,2.9,83.0,489.0,0.07,4.9,6.0,181.0,0.07,0.51,1.2,,0.0
FR026,"Beef, meat, medium fat, fresh",Meat and Poultry,Raw,66.0,201.0,18.8,14.0,0.0,0.0,1.2,11.0,170.0,2.8,105.0,378.0,4.58,5.2,9.0,198.0,0.08,0.56,1.3,,0.0
FP013,"Beef, meat, smoked",Meat and Poultry,Processed/Products,60.0,182.0,32.0,6.0,0.0,0.0,2.0,15.0,300.0,5.0,1620.0,485.4,0.03,5.1,6.0,,0.12,0.23,5.9,,0.0
FP016,"Beef, meat, worst",Meat and Poultry,Processed/Products,37.6,448.0,14.5,42.3,2.3,,3.3,28.0,61.0,1.1,765.0,284.5,0.06,1.7,0.0,,0.1,0.18,4.9,,0.0
FR027,"Beef, offal, fresh",Meat and Poultry,Raw,70.1,183.0,12.0,14.4,1.4,0.0,2.1,43.0,319.0,1.8,277.0,160.0,0.1,0.8,,104.0,0.31,0.22,8.4,,
FP011,"Beef, shredded",Meat and Poultry,Processed/Products,7.1,212.0,18.0,10.6,59.3,7.5,4.7,150.0,209.0,12.3,,,,,0.0,240.0,0.17,,,138.0,0.0
FP012,"Beef, shredded, original",Meat and Poultry,Processed/Products,24.8,358.0,14.6,16.1,38.6,2.5,5.8,165.0,136.0,14.6,,,,,3.0,194.0,0.13,,,144.0,0.0
FR023,"Beef, tripe (babat), fresh",Meat and Poultry,Raw,76.7,108.0,17.6,4.2,0.0,0.0,1.5,12.0,144.0,1.0,147.0,101.4,0.11,2.2,0.0,49.0,0.15,0.17,1.7,,0.0
FR030,"Beef, tripe, fresh",Meat and Poultry,Raw,83.8,84.0,10.5,4.6,0.2,0.0,0.9,20.0,13.0,2.1,73.0,318.0,0.2,1.7,857.0,34.0,0.1,0.14,0.3,,
DR010,"Beets, fresh",Vegetables,Raw,87.6,41.0,1.6,0.1,9.6,2.6,1.1,27.0,43.0,1.0,29.0,404.9,0.2,0.7,,0.0,0.02,0.05,0.3,20.0,10.0
NP003,Bekasang (fermented fish stomach),Herbs and Spices,Processed/Products,67.1,78.0,11.4,2.0,3.6,0.4,15.9,54.0,97.0,2.6,4016.0,121.0,0.2,4.8,,,0.15,0.12,0.6,,
NP011,Belachan,Herbs and Spices,Processed/Products,33.8,155.0,22.3,2.9,9.9,2.7,31.1,3812.0,726.0,78.5,1664.0,821.4,0.99,2.4,,0.0,0.24,0.0,3.3,0.0,0.0
DR020,"Belem leaf, fresh",Vegetables,Raw,84.6,50.0,4.4,1.4,7.8,1.9,1.8,698.0,151.0,7.5,,,,,0.0,,0.05,,,13072.0,21.0
BR004,"Belitung, taro, fresh",Starchy Roots & Tubers,Raw,63.1,145.0,1.2,0.4,34.2,1.5,1.1,26.0,54.0,1.4,6.0,536.1,0.2,0.9,0.0,0.0,0.1,0.1,2.3,0.0,2.0
BP004,"Belitung, taro, steamed",Starchy Roots & Tubers,Processed/Products,63.1,145.0,1.2,0.4,34.2,1.0,1.1,21.0,48.0,0.9,7.0,552.6,0.2,0.9,0.0,0.0,0.08,0.1,2.3,0.0,1.0
DR157,"Bengkulu eggplant, fresh",Vegetables,Raw,86.6,52.0,1.1,0.4,11.2,3.2,0.8,19.0,39.0,1.1,14.0,,0.16,1.0,0.0,85.0,0.23,0.04,0.0,600.0,6.0
BR006,"Bentul (Komba), taro, fresh",Starchy Roots & Tubers,Raw,75.8,98.0,1.6,0.7,20.9,0.7,1.8,44.0,66.0,1.5,,195.5,0.2,0.6,0.0,0.0,0.02,0.1,0.8,0.0,0.0
BP005,"Bentul, taro, steamed",Starchy Roots & Tubers,Processed/Products,81.1,71.0,2.3,0.3,15.4,0.5,0.9,29.0,26.0,0.6,,201.0,0.2,0.6,0.0,0.0,0.06,0.0,0.0,0.0,21.0
GP055,"Betok wadi, dish",Fish and Other Seafood,Processed/Products,69.2,145.0,16.3,7.0,4.1,,3.4,405.0,523.0,1.8,69.0,203.0,1.0,1.3,,,0.22,,,,
GR069,"Bicolour eel, fresh",Fish and Other Seafood,Raw,78.8,82.0,17.4,0.4,2.3,0.0,1.1,145.0,130.0,1.8,110.0,275.0,0.1,0.8,581.0,,0.64,0.03,1.5,,
AP035,Bika ambon,Cereals,Processed/Products,51.5,199.0,2.1,1.5,44.4,0.3,0.6,45.0,28.0,1.8,,,,,0.0,,0.1,,0.0,408.0,0.0
AP036,Bingka,Cereals,Processed/Products,44.4,273.0,5.3,10.6,39.1,,0.6,,,,,,,,,,,,,,
FR015,"Birds, nests, fresh",Meat and Poultry,Raw,24.8,281.0,37.5,0.3,32.1,,5.3,485.0,18.0,3.0,,,,,0.0,,,,,,0.0
AP029,Biscuits,Cereals,Processed/Products,2.2,458.0,6.9,14.4,75.1,2.1,1.4,62.0,87.0,2.7,241.0,20.3,0.16,0.6,0.0,14.0,0.09,0.15,1.4,,0.0
DR134,"Bitter (petai) bean, fresh",Vegetables,Raw,77.2,92.0,5.4,1.1,15.2,2.0,1.1,14.0,170.0,1.6,55.0,221.0,0.2,0.8,,114.0,0.8,0.1,6.1,,34.0
MP002,"Bitter chocolate, bar",Convectionery,Processed/Products,2.3,615.0,5.5,42.6,29.2,10.8,10.1,98.0,446.0,4.4,20.0,708.3,1.7,3.3,,2.0,0.05,0.08,1.0,60.0,0.0
DR103,Bitter gourd,Vegetables,Raw,93.7,25.0,2.3,0.2,3.5,2.1,0.3,25.0,67.0,0.3,8.0,88.4,0.08,0.3,,21.0,0.1,0.1,0.4,,39.0
DR064,"Bitter melon leaves, fresh",Vegetables,Raw,87.3,49.0,2.7,1.0,8.4,3.0,1.6,217.0,70.0,3.3,7.0,498.0,0.4,1.2,,1800.0,0.4,0.2,0.6,,7.0
DR136,"Black nighshade leaves, fresh",Vegetables,Raw,91.0,33.0,4.5,0.4,2.8,,1.3,13.0,75.0,2.9,2.0,0.0,0.2,0.6,,,0.5,0.1,,,41.0
DR127,"Black nighshade, fresh",Vegetables,Raw,90.5,38.0,1.1,0.3,7.6,2.0,0.5,7.0,55.0,1.0,2.0,,0.1,0.3,,25.0,0.2,0.1,0.6,,17.0
CR015,"Black soybean, dried",Grains and Legumes,Raw,12.5,346.0,16.6,1.7,66.1,22.8,3.1,70.0,300.0,4.7,3.0,0.0,0.9,3.5,,28.0,0.16,0.1,2.1,,
